company,job_name,link_url,apply_url,job_id,salaryRange,equityRange,minExperience,minSchoolYear,visa,jobType,location,is_remote,hiring_description,job_description,salary_min,salary_max
Circuithub,Full-Stack Robotics Engineer Summer 2026 Intern,https://www.ycombinator.com/companies/circuithub/jobs/pxHqv58-full-stack-robotics-engineer-summer-2026-intern,https://www.workatastartup.com/jobs/80377,80377,,,,,,,,False,"We&#x27;re building a future where hardware companies can design and iterate as fast as software companies\r\n\r\nCircuitHub is on a mission to fix rapid electronics prototyping. We are the first automated electronics factory built around a modern tech stack. We help hardware companies producing self driving cars, satellites, 3D printers, robotics, &amp; more to rapidly prototype electronics and get to market faster.\r\n\r\nWe&#x27;ve raised $20M from top investors that include Y Combinator , Google Ventures, &amp; more. With business growing fast we are looking to fill roles in Massachusetts, USA and London, UK . \r\n\r\nJoin us to solve real world problems while shaping the future of automated manufacturing. ",,,
Circuithub,Production Operator,https://www.ycombinator.com/companies/circuithub/jobs/1TLOW0y-production-operator,https://www.workatastartup.com/jobs/78075,78075,,,,,,,,False,"We&#x27;re building a future where hardware companies can design and iterate as fast as software companies\r\n\r\nCircuitHub is on a mission to fix rapid electronics prototyping. We are the first automated electronics factory built around a modern tech stack. We help hardware companies producing self driving cars, satellites, 3D printers, robotics, &amp; more to rapidly prototype electronics and get to market faster.\r\n\r\nWe&#x27;ve raised $20M from top investors that include Y Combinator , Google Ventures, &amp; more. With business growing fast we are looking to fill roles in Massachusetts, USA and London, UK . \r\n\r\nJoin us to solve real world problems while shaping the future of automated manufacturing. ",,,
Circuithub,Full-Stack Robotics Engineer,https://www.ycombinator.com/companies/circuithub/jobs/bUPM5eq-full-stack-robotics-engineer,https://www.workatastartup.com/jobs/76919,76919,,,,,,,,False,"We&#x27;re building a future where hardware companies can design and iterate as fast as software companies\r\n\r\nCircuitHub is on a mission to fix rapid electronics prototyping. We are the first automated electronics factory built around a modern tech stack. We help hardware companies producing self driving cars, satellites, 3D printers, robotics, &amp; more to rapidly prototype electronics and get to market faster.\r\n\r\nWe&#x27;ve raised $20M from top investors that include Y Combinator , Google Ventures, &amp; more. With business growing fast we are looking to fill roles in Massachusetts, USA and London, UK . \r\n\r\nJoin us to solve real world problems while shaping the future of automated manufacturing. ",,,
Circuithub,Software Engineer,https://www.ycombinator.com/companies/circuithub/jobs/MoiBgjLeX-software-engineer,https://www.workatastartup.com/jobs/39,39,,,,,,,,False,"We&#x27;re building a future where hardware companies can design and iterate as fast as software companies\r\n\r\nCircuitHub is on a mission to fix rapid electronics prototyping. We are the first automated electronics factory built around a modern tech stack. We help hardware companies producing self driving cars, satellites, 3D printers, robotics, &amp; more to rapidly prototype electronics and get to market faster.\r\n\r\nWe&#x27;ve raised $20M from top investors that include Y Combinator , Google Ventures, &amp; more. With business growing fast we are looking to fill roles in Massachusetts, USA and London, UK . \r\n\r\nJoin us to solve real world problems while shaping the future of automated manufacturing. ",,,
Rescale,Senior AI Product Designer,https://www.ycombinator.com/companies/rescale/jobs/97EkpY7-senior-ai-product-designer,https://www.workatastartup.com/jobs/79842,79842,,,,,,,,False,"\r\nRescale provides a global software platform and hardware infrastructure for companies to perform scientific and engineering simulation.\r\n\r\n- We provide the largest, most secure, global high performance computing (HPC) footprint seamlessly integrated into an easy-to-use platform built for engineers and scientists. We are disrupting the staid on premise HPC world.\r\n- Not that long ago, we were a team of two, who rendered the Boeing 787 wing on commodity hardware, saving $150M in the process. Now we are a team of 50+ software engineers, computer scientists, and domain experts, helping advanced tech companies bring their complex use cases to the cloud.\r\n- Investors in Rescale include Sam Altman, Jeff Bezos, Richard Branson, Chris Dixon, and Paul Graham, among others.\r\n",,,
Rescale,Enterprise Account Development Representative (Eastern Time Zone),https://www.ycombinator.com/companies/rescale/jobs/FXmue28-enterprise-account-development-representative-eastern-time-zone,https://www.workatastartup.com/jobs/76908,76908,,,,,,,,False,"\r\nRescale provides a global software platform and hardware infrastructure for companies to perform scientific and engineering simulation.\r\n\r\n- We provide the largest, most secure, global high performance computing (HPC) footprint seamlessly integrated into an easy-to-use platform built for engineers and scientists. We are disrupting the staid on premise HPC world.\r\n- Not that long ago, we were a team of two, who rendered the Boeing 787 wing on commodity hardware, saving $150M in the process. Now we are a team of 50+ software engineers, computer scientists, and domain experts, helping advanced tech companies bring their complex use cases to the cloud.\r\n- Investors in Rescale include Sam Altman, Jeff Bezos, Richard Branson, Chris Dixon, and Paul Graham, among others.\r\n",,,
Rescale,"Software Engineer, Full-Stack",https://www.ycombinator.com/companies/rescale/jobs/JVqLfnn-software-engineer-full-stack,https://www.workatastartup.com/jobs/76448,76448,,,,,,,,False,"\r\nRescale provides a global software platform and hardware infrastructure for companies to perform scientific and engineering simulation.\r\n\r\n- We provide the largest, most secure, global high performance computing (HPC) footprint seamlessly integrated into an easy-to-use platform built for engineers and scientists. We are disrupting the staid on premise HPC world.\r\n- Not that long ago, we were a team of two, who rendered the Boeing 787 wing on commodity hardware, saving $150M in the process. Now we are a team of 50+ software engineers, computer scientists, and domain experts, helping advanced tech companies bring their complex use cases to the cloud.\r\n- Investors in Rescale include Sam Altman, Jeff Bezos, Richard Branson, Chris Dixon, and Paul Graham, among others.\r\n",,,
Rescale,"Director, Public Affairs",https://www.ycombinator.com/companies/rescale/jobs/nurQ4XU-director-public-affairs,https://www.workatastartup.com/jobs/71462,71462,,,,,,,,False,"\r\nRescale provides a global software platform and hardware infrastructure for companies to perform scientific and engineering simulation.\r\n\r\n- We provide the largest, most secure, global high performance computing (HPC) footprint seamlessly integrated into an easy-to-use platform built for engineers and scientists. We are disrupting the staid on premise HPC world.\r\n- Not that long ago, we were a team of two, who rendered the Boeing 787 wing on commodity hardware, saving $150M in the process. Now we are a team of 50+ software engineers, computer scientists, and domain experts, helping advanced tech companies bring their complex use cases to the cloud.\r\n- Investors in Rescale include Sam Altman, Jeff Bezos, Richard Branson, Chris Dixon, and Paul Graham, among others.\r\n",,,
Rescale,Customer Success Engineer (Japan),https://www.ycombinator.com/companies/rescale/jobs/B4PkXBz-customer-success-engineer-japan,https://www.workatastartup.com/jobs/65794,65794,,,,,,,,False,"\r\nRescale provides a global software platform and hardware infrastructure for companies to perform scientific and engineering simulation.\r\n\r\n- We provide the largest, most secure, global high performance computing (HPC) footprint seamlessly integrated into an easy-to-use platform built for engineers and scientists. We are disrupting the staid on premise HPC world.\r\n- Not that long ago, we were a team of two, who rendered the Boeing 787 wing on commodity hardware, saving $150M in the process. Now we are a team of 50+ software engineers, computer scientists, and domain experts, helping advanced tech companies bring their complex use cases to the cloud.\r\n- Investors in Rescale include Sam Altman, Jeff Bezos, Richard Branson, Chris Dixon, and Paul Graham, among others.\r\n",,,
Rescale,Senior Executive Assistant to CEO,https://www.ycombinator.com/companies/rescale/jobs/EXwY6Mb-senior-executive-assistant-to-ceo,https://www.workatastartup.com/jobs/62635,62635,,,,,,,,False,"\r\nRescale provides a global software platform and hardware infrastructure for companies to perform scientific and engineering simulation.\r\n\r\n- We provide the largest, most secure, global high performance computing (HPC) footprint seamlessly integrated into an easy-to-use platform built for engineers and scientists. We are disrupting the staid on premise HPC world.\r\n- Not that long ago, we were a team of two, who rendered the Boeing 787 wing on commodity hardware, saving $150M in the process. Now we are a team of 50+ software engineers, computer scientists, and domain experts, helping advanced tech companies bring their complex use cases to the cloud.\r\n- Investors in Rescale include Sam Altman, Jeff Bezos, Richard Branson, Chris Dixon, and Paul Graham, among others.\r\n",,,
